Refid,year,country,continent,setting,outcome,NR_outcomes,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2335,2013,New Zealand,Oceania,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2019,Australia,Oceania,Feed Manufacturing Plant,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,2010,Australia,Oceania,Feed Manufacturing Plant,Prevalence,,,,,,,,,Broiler chickens,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis,Agona,Ohio,Muenster","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,Enrichment methods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,natural and innoculated are combined
419,2019,Australia,Oceania,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,2013,New Zealand,Oceania,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Poultry, not further specified","feed,environment",broll (contains wheat flour and grain),"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The only relevant part of this paper is the molecular characterization of the contaminated poultry feed isolates, since the poultry feed did not cause the human outbreak--they simply shared the same contaminated wheat."
419,2019,Australia,Oceania,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4315,2003,Australia,Oceania,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Laying hens,feed,meat meal,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Johannesburg,"Determining serotypes present,Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Agona","Determining serotypes present,Outbreak investigation",,,,,,,,,,,,,,,,,"I know we're not supposed to extract Determining serotypes present for an outbreak, but in this study, they found serotypes that weren't the cause of the outbreak, so I extracted them."
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Oceania,Feed Transportation,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Oceania,Feed Transportation,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Oceania,Feed Transportation,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Johannesburg,Anatum,Infantis,Oranienburg,Amager,Schwarzengrund,Kentucky,Indiana,II,Ohio,Chester,Siegburg,Adelaide,Rissen,Livingstone,Havana,Fresno,Saintpaul,Babelsberg,Aberdeen","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",geographic region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,2014,Australia,Oceania,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Sheep,Goats",feed,"dry grain,pelleted feed,Hay",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
243,2020,Australia,Oceania,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
354,2019,New Zealand,Oceania,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,2007,Australia,Oceania,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"dry grain,vegetable oil","Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Not specified / any or all combined / Salmonella spp.,Outbreak investigation,,,,,,,,,,,,,,,,,
354,2019,New Zealand,Oceania,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Thompson,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"They did risk analysis, but they could not have done it with feed as an outcome as only farm had Salmonella-positive feed."
4315,2003,Australia,Oceania,On-farm,Serovar(s) Present,,,,,,,,,Laying hens,feed,meat meal,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Johannesburg,"Determining serotypes present,Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Agona","Determining serotypes present,Outbreak investigation",,,,,,,,,,,,,,,,,"I know we're not supposed to extract Determining serotypes present for an outbreak, but in this study, they found serotypes that weren't the cause of the outbreak, so I extracted them."
5043,1997,"Canada,Australia,United Kingdom",Oceania,Not Specified,Molecular Characteristics,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5043,1997,"Canada,Australia,United Kingdom",Oceania,Not Specified,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified,Not reported",feed,"not reported,Bone meal,meat meal,cottonseed meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Eimsbuettel,Comparison of molecular characterization between sources,,,,,,
1846,2015,Brazil,South America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2019,Ecuador,South America,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,2015,Brazil,South America,Feed Manufacturing Plant,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9165,2015,Brazil,South America,Feed Manufacturing Plant,Concentration,,,,,,,,,"Poultry, not further specified",feed,"Not reported,animal byproducts,corn products,vegetable feeds",Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2019,Ecuador,South America,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,2015,Brazil,South America,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2019,Ecuador,South America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,2015,Brazil,South America,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,2015,Brazil,South America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Swine,not specified,,"Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2019,Ecuador,South America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Broiler chickens,feed,"dry grain,animal byproducts,Commercial feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,2015,Brazil,South America,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,equipment,environment","pelleted feed,animal byproducts,Commercial feed,Mash,Soybean meal,corn gluten,wheat bran,Sorghum,milk products,rice bran","Prevalence / proportion positive,Concentration,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Orion,Rissen,Worthington,Havana,Cerro,Schwarzengrund,Newport,Idikan,Lexington,Heidelberg,Morehead,O:3,10,O:3,10:eh:-:,O:6,7,O:6,8,O:13,23,O:16,:C:-","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",South America,Feed Transportation,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,2013,Brazil,South America,Feed Transportation,Concentration,,,,,,,,,,,,,,,,,,,,Not reported,feed,"animal byproducts,feather meal,meat and bone meal","Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",South America,Feed Transportation,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,2013,Brazil,South America,Feed Transportation,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2011,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",South America,Feed Transportation,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Johannesburg,Anatum,Infantis,Oranienburg,Amager,Schwarzengrund,Kentucky,Indiana,II,Ohio,Chester,Siegburg,Adelaide,Rissen,Livingstone,Havana,Fresno,Saintpaul,Babelsberg,Aberdeen","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",geographic region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2014,Brazil,South America,Field Used to Grow Animal Feeds,Concentration,,"Cattle, not further specified,Goats","Crop in field,Irrigation water","Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,2019,Brazil,South America,On-farm,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,2002,Brazil,South America,On-farm,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,2011,Brazil,South America,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,2019,Brazil,South America,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,2017,Argentina,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11895,2018,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,2015,Colombia,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics,other",,,,,,,,,,,,,
1973,2014,"Trinidad and Tobago,Grenada,St. Lucia",South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,2011,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,2009,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,2019,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
383,2019,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,2019,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,2019,Ecuador,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,2019,Venezuela,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"poultry litter intended as feed,commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"""dual-purpose"" cattle. They reported AMR, but did not do so separately for feed."
6858,2019,Brazil,South America,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,animal byproducts,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All feed samples were negative for Salmonella.
1168,2017,Argentina,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Stanley,Newport,LIvingstone,Rissen","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,DNA-based",,,,,,,,,,,,,,
11895,2018,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
1973,2014,"Trinidad and Tobago,Grenada,St. Lucia",South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Uganda","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
2653,2011,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Typhimurium,Panama","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3087,2009,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other farmed poultry,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Javiana,4, 12: i:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
383,2019,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Comparison of AMR patterns between sources",,,,,,,,,,,,,,,,,
4476,2002,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,"feed,environment",Not specified,"Antimicrobial resistance,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Typhimurium,Sandiego","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
456,2019,Brazil,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Incidence,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,enterica O:4,5:-:1,2","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
572,2019,Ecuador,South America,On-farm,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,I had to check the supplemental data to see which serotypes were found in the feed samples.
1691,2015,Brazil,South America,Not Specified,Antimicrobial Resistance,Antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,animal byproducts,Antimicrobial resistance,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Anatum,Infantis,gafsa,cerro,adelaide","Determining antimicrobial resistance,Comparison of AMR patterns between sources",,,,,,
12709,2016,Brazil,South America,Not Specified,Concentration,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,2019,Brazil,South America,Not Specified,Concentration,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken, not further specified",feed,Commercial feed,Concentration,Enteritidis,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,natural antimicrobials,
13904,2005,Brazil,South America,Not Specified,Prevalence,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,2013,Argentina,South America,Not Specified,Prevalence,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9558,2012,Brazil,South America,Not Specified,Prevalence,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709,2016,Brazil,South America,Not Specified,Serovar(s) Present,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Colostrum,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,
13904,2005,Brazil,South America,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"Culture-based,DNA-based",,,
2275,2013,Argentina,South America,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Gallinarum,pullorum",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,"Culture-based,DNA-based,Enrichment methods",,,"The outcomes were also sensitivity, and accuracy of the tests"
2673,2011,Argentina,South America,Not Specified,Serovar(s) Present,"None of the above,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,not reported,"None of the above,Serotype(s) present in food / food environment / food equipment","Enteritidis,Typhimurium,Gallinarum,Kentucky,pullorum,Livingstone",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,"Culture-based,DNA-based",,,"Outcomes were accuracy, sensitivity, Sp, positive predictive value, and negative predicitve value The heat injury part of the study did not involve feed."
4418,2002,Brazil,South America,Not Specified,Serovar(s) Present,Serotype(s) present in food / food environment / food equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Serotype(s) present in food / food environment / food equipment,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Infantis,Agona,Enteritidis,Typhimurium,ohio,Rough",Determining serotypes present,,,,,,
5147,1996,Brazil,South America,Not Specified,Serovar(s) Present,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Commercial feed,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Determining serotypes present,,,,,,
9558,2012,Brazil,South America,Not Specified,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"Meat and bone meal,blood meal and feathers,Viscera meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Montevideo,Infantis,Typhimurium,cerro","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
12709,2016,Brazil,South America,Not Specified,Survival Time,"Concentration,Survival time,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,2016,Not reported,Not Reported,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,2016,Not reported,Not Reported,Feed Manufacturing Plant,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,2008,Not reported,Not Reported,Feed Manufacturing Plant,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
