Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
9297,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,Diagnostic test evaluation,Not specified,Poultry,Prevalence,"Swine,Broiler chickens,Laying hens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9297,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,Diagnostic test evaluation,Not specified,Poultry,Serotype(s) Present,"Swine,Broiler chickens,Laying hens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Broiler chickens,Laying hens",feed,animal byproducts,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Heidelberg","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based,Other",,,
9297,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,Diagnostic test evaluation,Not specified,Swine,Prevalence,"Swine,Broiler chickens,Laying hens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9297,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,Diagnostic test evaluation,Not specified,Swine,Serotype(s) Present,"Swine,Broiler chickens,Laying hens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Broiler chickens,Laying hens",feed,animal byproducts,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Heidelberg","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based,Other",,,
9307,"Ellen_Vriezen,Mikalya_Plishka",3,1998,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Poultry,Prevalence,,,,,,,,,"Poultry, not further specified,Not reported","feed,environment",cocoa bean shell,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Ibadan,Kibi,Aba,Bochum,Cannobio,Chandans,Etterbeek,Hithergreen,Mango,Plymouth,Sangera,Somone,Stockholm,Wangata,Wien,Ploufragan,Morillons","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9307,"Ellen_Vriezen,Mikalya_Plishka",3,1998,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Poultry,Serotype(s) Present,,,,,,,,,"Poultry, not further specified,Not reported","feed,environment",cocoa bean shell,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Ibadan,Kibi,Aba,Bochum,Cannobio,Chandans,Etterbeek,Hithergreen,Mango,Plymouth,Sangera,Somone,Stockholm,Wangata,Wien,Ploufragan,Morillons","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9307,"Ellen_Vriezen,Mikalya_Plishka",3,1998,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Not Reported,Prevalence,,,,,,,,,"Poultry, not further specified,Not reported","feed,environment",cocoa bean shell,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Ibadan,Kibi,Aba,Bochum,Cannobio,Chandans,Etterbeek,Hithergreen,Mango,Plymouth,Sangera,Somone,Stockholm,Wangata,Wien,Ploufragan,Morillons","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9307,"Ellen_Vriezen,Mikalya_Plishka",3,1998,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,"Poultry, not further specified,Not reported","feed,environment",cocoa bean shell,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Ibadan,Kibi,Aba,Bochum,Cannobio,Chandans,Etterbeek,Hithergreen,Mango,Plymouth,Sangera,Somone,Stockholm,Wangata,Wien,Ploufragan,Morillons","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Viet Nam,Asia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Swine,Antimicrobial Resistance,"Swine,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Not reported",feed,"pelleted feed,not reported,Bone meal,blood meal,fish powder","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9388,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Viet Nam,Asia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Swine,Prevalence,"Swine,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Viet Nam,Asia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Antimicrobial Resistance,"Swine,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Not reported",feed,"pelleted feed,not reported,Bone meal,blood meal,fish powder","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9388,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Viet Nam,Asia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not specified,Not Reported,Prevalence,"Swine,Not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Lithuania,Europe,Analytical observational,Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Lithuania,Europe,Analytical observational,Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"not reported,meat products,fish products","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Infantis,Agona,Enteritidis,Typhimurium,Derby,Indiana,Virchow,Coeln,Djugu,Eschweiler,B gr. (04),C gr. (07),R form","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9415,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Iran,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Fish,Concentration,Fish  / shellfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9415,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Iran,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Fish,Serotype(s) Present,Fish  / shellfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,fish oil,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Agona,"Estimating concentration of Salmonella,Estimating survival time of Salmonella",,,,,,
9415,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Iran,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Fish,Survival Time,Fish  / shellfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9420,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
9420,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Bangladesh,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,,,,,
9429,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Nigeria,Africa,Single group observational,Not specified,Poultry,Antimicrobial Resistance,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,
9429,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Nigeria,Africa,Single group observational,Not specified,Poultry,Prevalence,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9447,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Concentration,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9447,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Serotype(s) Present,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"mineral mix,barley,wheat,corn,sugar beet pulp,animal fat,Common salt,soya expeller,sugar cane molasses,Potato protein,calcium phosphate,calcium carbonate","Concentration,Survival time,None of the above,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,
9447,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Swine,Survival Time,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,"Ellen_Vriezen,Mikalya_Plishka",3,2013,Nigeria,Africa,Single group observational,Feed manufacturing plant,Poultry,Concentration,,,,,,,,,"Laying hens,Poultry, not further specified",feed,Not reported,Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9498,"Ellen_Vriezen,Mikalya_Plishka",3,2002,USA,North America,Analytical observational,On-farm (including farmed fish sites),Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,"poultry litter intended as feed,Soybean meal,corn silage,Total mixed ration (TMR),corn,Cottonseed","Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,stack depth,,,,,,,,,,,,
9517,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Jordan,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Concentration,Broiler chickens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Jordan,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Serotype(s) Present,Broiler chickens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,not reported,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Gallinarum,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,formic acid,
9517,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Jordan,Asia,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Survival Time,Broiler chickens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9553,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Poultry,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,poultry manure,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,,,,,,,,,,,,
9558,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Brazil,South America,Analytical observational,Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9558,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Brazil,South America,Analytical observational,Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"Meat and bone meal,blood meal and feathers,Viscera meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Montevideo,Infantis,Typhimurium,cerro","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9585,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,
9585,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Thailand,Asia,Analytical observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,"Laboratory study (experimental, something manipulated)","Feed manufacturing plant,Not specified",Cattle or Buffalo,Serotype(s) Present,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,"Laboratory study (experimental, something manipulated)","Feed manufacturing plant,Not specified",Poultry,Serotype(s) Present,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,"Laboratory study (experimental, something manipulated)","Feed manufacturing plant,Not specified",Swine,Serotype(s) Present,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,"Laboratory study (experimental, something manipulated)","Feed manufacturing plant,Not specified",Not Reported,Serotype(s) Present,Not reported,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9684,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Hungary,Europe,"Laboratory study (experimental, something manipulated)",Feed manufacturing plant,Swine,Serotype(s) Present,,,,,,,,,"Swine,Not reported",feed,eggshell flour,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,drying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9684,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Hungary,Europe,"Laboratory study (experimental, something manipulated)",Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,"Swine,Not reported",feed,eggshell flour,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,drying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9687,"Ellen_Vriezen,Mikalya_Plishka",3,2018,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Poultry,Prevalence,,,,,,,,,"Poultry, not further specified",feed,animal byproducts,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699,"Ellen_Vriezen,Mikalya_Plishka",3,2010,Serbia,Europe,Single group observational,Not specified,Not Reported,Prevalence,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,Brewers,rapeseed,soybean meal,Corn gluten,Fish meal,yeast,barley,wheat,corn,Corn germ meal,alfalfa,sunflower meal,Meat and bone meal,wheat meal,corn grits,Complete feed stuffs",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,
9743,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Mexico,North America,"Laboratory study (experimental, something manipulated)",Not specified,Ruminants (Other),Concentration,"Ruminants, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,"premix,corn,Molasses,Corn bran,dry coffee pulp,sugar cane mash,alfalfa hay",Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,
9744,"Ellen_Vriezen,Mikalya_Plishka",3,2014,Serbia,Europe,Analytical observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,,,,,,,,,,,,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Not specified,Poultry,Antimicrobial Resistance,"Broiler chickens,Laying hens,Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Not specified,Poultry,Molecular Characteristics,"Broiler chickens,Laying hens,Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Not specified,Poultry,Prevalence,"Broiler chickens,Laying hens,Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Not specified,Poultry,Serotype(s) Present,"Broiler chickens,Laying hens,Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,pullorum,Typhi","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9783,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Concentration,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9783,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Serotype(s) Present,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"soybean meal,Meat and bone meal","Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,gamma irradiation,
9783,"Ellen_Vriezen,Mikalya_Plishka",3,1997,USA,North America,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Survival Time,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9812,"Ellen_Vriezen,Mikalya_Plishka",3,2004,United Kingdom,Europe,Analytical observational,Not specified,Swine,Serotype(s) Present,Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,"pelleted feed,animal byproducts,mineral mix,not reported,rapeseed,maise,wheat,compound feed,vegetable material","Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment,
9813,"SarahTotton,Mikalya_Plishka",3,2003,Cyprus,Europe,Challenge trial in natural setting (not lab),"Field used to grow animal feeds,Not specified",Ruminants (Other),Survival Time,Sheep,"Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
9813,"SarahTotton,Mikalya_Plishka",3,2003,Cyprus,Europe,Challenge trial in natural setting (not lab),"Field used to grow animal feeds,Not specified",Sheep,Survival Time,,"Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Not specified,Not Reported,Serotype(s) Present,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9940,"Ellen_Vriezen,Mikalya_Plishka",3,2007,Saudi Arabia,Asia,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
9943,"SarahTotton,Ellen_Vriezen",3,2004,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Cattle or Buffalo,Prevalence,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"Mash,extruded,meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
