Refid,country,st_design,setting,species,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
19919,USA,Single group observational,Feed Manufacturing Plant,Not Reported,Serovar(s) Present,Not reported,,,,,,,,feed,animal byproducts,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Bredeney","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 582-583 of the PDF
5299,Sweden,Single group observational,Feed Manufacturing Plant,Not Reported,Serovar(s) Present,,,,,,,,Not reported,"feed,environment","animal byproducts,vegetable feeds","Molecular characteristics,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Kiambu,Bareilly,Braenderup,Cubana,Worthington,Enteritidis,Havana,Singapore,Ohio,Livingstone,Bredeney,Oranienburg,Schwarzengrund,Muenster,Sal.subsp 1 ser 6,7,Derby,Newport,Ouakam,Isangi,London,Ruiru,Lexington,Jerusalem,Hadar,Molade,Heidelberg,Amager,Kentucky,Bovismorbificans,Meleagridis,Llandoff,Kingston,goldcoast,bere,California,Tilburg,Ibadan,Bergen,Dublin,Dusseldorf,Kapemba,Schleissheim,Westhampton,Albanyl,Azteka,Beitri,Blockley,BO-Group,Brazzavile,Clackamas,CO-group,Donna,EO-Group,Gabon,Georgia,Hillington,Kambok,kunduchi,leopoldville,Mons,Othamarschen,Pomona,Sinstorf,Thomasville,Urbana,Weltswreden,Wil","Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,"Ruminants, not further specified,Swine",feed,"animal byproducts,Milk powder,Protein powder","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Oranienburg,Amager,Ohio,Rissen,Livingstone,Havana,Muenster,Bareilly,Orion,Enteritidis,Heidelberg,London,Westhampton,Thomasville,Schleissheim,Typhimurium,Cubana,Tillburg,Give,Bredeney,Mons,Goldcoast,Brazzaville,CO-group,EO-group,Hillington,othamarschen,Urbana,BO-group,Lexington,Isangi,Sinstorf,Kapemba,Dublin,Blockley,Clackamas,Kambok,Natal,Binza,Oakam,Worthington,Leopoldville,Beitri,Donna,Hato,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella","geographic region,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Not Reported,Serovar(s) Present,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,Samples were taken from feed mills and there was also feed sampled from unspecified places
1324,USA,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Not Reported,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889,Norway,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Not Reported,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Transportation,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,Brazil,Analytical observational,Feed Transportation,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,Not reported,feed,"animal byproducts,feather meal,meat and bone meal","Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Transportation,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,Brazil,Analytical observational,Feed Transportation,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Transportation,Not Reported,Serovar(s) Present,,,,,,,,,,,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Johannesburg,Anatum,Infantis,Oranienburg,Amager,Schwarzengrund,Kentucky,Indiana,II,Ohio,Chester,Siegburg,Adelaide,Rissen,Livingstone,Havana,Fresno,Saintpaul,Babelsberg,Aberdeen","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",geographic region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,Germany,"Laboratory study (experimental, something manipulated)",Field Used to Grow Animal Feeds,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,Great Britain,Single group observational,Field Used to Grow Animal Feeds,Not Reported,Concentration,Not reported,Animal feces present in the field,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From the Abstract: ""Animal wastes are disposed of by spreading to agricultural land used for the production of crops and livestock grazing."" Re: Q4, this manure was not taken from fields. They were collected and tested prior to when they would have been spread on fields."
5480,USA,Analytical observational,Field Used to Grow Animal Feeds,Not Reported,Concentration,Not reported,Soil,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",field characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,Great Britain,Single group observational,Field Used to Grow Animal Feeds,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10234,Israel,Single group observational,Field Used to Grow Animal Feeds,Not Reported,Prevalence,Not reported,"Crop in field,Soil",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"poultry litter intended as feed,Total mixed ration (TMR),Silage",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
1887,Germany,"Laboratory study (experimental, something manipulated)",Field Used to Grow Animal Feeds,Not Reported,Serovar(s) Present,Not reported,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Anatum","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,lactic acid fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The paper was about a method to kill Salmonella in manure and sewage sludge that could be used to grow crops for animals. Treatment of soil with sewage sludge or manure.
2189,United Kingdom,Analytical observational,Field Used to Grow Animal Feeds,Not Reported,Serovar(s) Present,Not reported,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
1887,Germany,"Laboratory study (experimental, something manipulated)",Field Used to Grow Animal Feeds,Not Reported,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,Taiwan,"Laboratory study (experimental, something manipulated)",On-farm,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,hatchery waste eggs,"Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment,,,,,,,,,,,,
10108,Poland,Clinical / field trial with natural disease exposure,On-farm,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"alfalfa silage,alfalfa",Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"ensiling, bacterial inoculants",,,,,,,,,,,,
1376,China,Single group observational,On-farm,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,USA,Diagnostic test evaluation,On-farm,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163,Jordan,Diagnostic test evaluation,On-farm,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"corn,alfalfa",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,DNA-based,,,,,,,,,,,,,,
1127,USA,Diagnostic test evaluation,On-farm,Not Reported,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"calf milk replacer,Colostrum,Hay","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Meleagridis,Havana",Development of validation of methods for detection of Salmonella,Naturally infected,,"Culture-based,DNA-based,Enrichment methods",,,,,,,,,,,,,,"Some of what they called ""feed"" are probably not for livestock, but captive reptiles (frozen rodents) and dogs or cats (raw meat, ""various types of chow""). They compared enrichment + PCR to culture. From the wording, it sounds like all feed specimens tested were naturally contaminated."
20129,Japan,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Not Reported,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,environment,,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,Determining antimicrobial resistance,,,,,,,,,,,,,,,,,
2139,Sweden,Diagnostic test evaluation,Retail,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,USA,Diagnostic test evaluation,Retail,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,Sweden,Diagnostic test evaluation,Retail,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9188,USA,Analytical observational,Retail,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,"Goats,Not reported",feed,"pelleted feed,calf milk replacer,Soybean meal,Maize,Peanuts,Sunflower,Cottonseed,Safflower",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"season, climate",,,,,,,,,,,,,,,,,,,,,,,They looked at milk replacer but didn't say what species it was for.
1376,China,Single group observational,Retail,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,Sweden,Diagnostic test evaluation,Retail,Not Reported,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Soybean meal,"Prevalence / proportion positive,Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Cubana","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,DNA-based,Other",,,,,,,,,,,,,,,,,,,,,,,,"Cubana was the serotype artificially inoculated into the feed. For the naturally contaminated samples, authors did not report serotypes found."
5729,USA,Diagnostic test evaluation,Retail,Not Reported,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Not reported,Germany,Great Britain,Denmark","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance",Infantis,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
2007,Not reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance,Reported number of positive samples without a denominator","Typhimurium,I 4,[5],12-i-","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Comparison of AMR patterns between sources,Comparison of molecular characterization between sources",,,,,,
3075,Great Britain,Analytical observational,Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,Denmark,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance",Rissen,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
3788,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Antimicrobial resistance",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
3848,Spain,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"soya,Sewage,meat meal","Molecular characteristics,Antimicrobial resistance",Senftenberg,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
4037,Germany,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429,Spain,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"animal byproducts,not reported",Antimicrobial resistance,Not specified / any or all combined / Salmonella spp.,Determining antimicrobial resistance,,,,,,
4568,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257,Serbia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388,Viet Nam,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swine,Not reported",feed,"pelleted feed,not reported,Bone meal,blood meal,fish powder","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
10295,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Determining antimicrobial resistance,Determining serotypes present",,,,,,
260,Denmark,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Not reported,Diagnostic test evaluation,Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Fish meal,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,UV-C Radiation,Samples tested for Salmonella before inoculation were negative for Salmonella.
2243,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,Sweden,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3256,USA,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,other,,Concentration,"Agona,Enteritidis,Typhimurium,Gaminara,Michigan",Estimating concentration of Salmonella,,,,,,
3437,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,Not reported,Diagnostic test evaluation,Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported",feed,"Commercial feed,Milk replacer,soybean meal,Fish meal,Game bird,Ratite (emu) starter-crumble","Prevalence / proportion positive,Concentration,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Not specified / any or all combined / Salmonella spp.,Typhimurium","Development of validation of methods for detection of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,,"Culture-based,DNA-based,Enrichment methods",,,Detection limit was another outcome
5393,Sweden,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5658,USA,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7450,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8559,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8706,Canada,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9236,Not reported,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,Poland,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,maize silage,"Concentration,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,INNOCULANT LACTOSIL BIOGAZ PLUS,
17194,Poland,"Laboratory study (experimental, something manipulated)",Not Specified,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Not reported,Germany,Great Britain,Denmark","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Germany,Diagnostic test evaluation,Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,Molecular characteristics,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Molecular characterization (descriptive)",Naturally infected,,DNA-based,,,For Q3 I picked Diagnostic test evaluation because it is the first thing mentioned in the Title and the Objectives. They do not indicate the results for feed specifically. I checked all of the Supplemental Materials and could find no mention of feed.
1269,Not reported,Diagnostic test evaluation,Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Belgium,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Fish meal,Molecular characteristics,Rissen,Molecular characterization (descriptive),,,,,,
2007,Not reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,Denmark,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3848,Spain,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388,Italy,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,Poland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885,Canada,Diagnostic test evaluation,Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5043,"Canada,Australia,United Kingdom","Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5134,Great Britain,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Not Specified,Not Reported,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
