Refid,country,continent,st_design,setting1,setting,species,species1,species2,,plant_species,plant_species,trans_species,retail_species,farm_species,NR_species
9943,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,Turkeys,
3001,Sweden,Europe,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Laying hens,
3232,Sweden,Europe,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Dairy cattle,
9684,Hungary,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,"Chickens, not further specified",
3960,Norway,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Fish, Not reported","Fish / shellfish,Not reported",,,,,,Swine,
2189,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Not Reported,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,,,,Swine,
9604,Serbia,Europe,Laboratory study (experimental),"Feed manufacturing plant,Not specified",Multiple,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified, Not reported",,,,,,Broiler chickens,
5299,Sweden,Europe,Single group observational,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Multiple,Not Reported,"Ruminants, Swine, Not reported","Not reported, Ruminants, Swine",,,,,,Laying hens,
16446,Belgium,Europe,Analytical observational,Not specified,Not Specified,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Broiler chickens,Poultry, not further specified,Not reported",,,,,,Laying hens,
18279,Belgium,Europe,Analytical observational,Not specified,Not Specified,Not Reported,"Swine, Poultry, Not reported","Swine,Broiler chickens,Laying hens,Not reported",,,,,,Laying hens,
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Not Reported,"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,Laying hens,
9292,Poland,Europe,Analytical observational,Not specified,Not Specified,Not Reported,"Cattle, Swine, Poultry, Fish, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported",,,,,,"Chickens, not further specified",
2295,Sweden,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Laying hens,
4388,Italy,Europe,Molecular studies,Not specified,Not Specified,Not Reported,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,Broiler chickens,
9257,Serbia,Europe,Molecular studies,Not specified,Not Specified,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,,,,Turkeys,
5179,"Canada,Great Britain,Israel",Europe,Molecular studies,Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Fish  / shellfish,
516,Belgium,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
9240,Greece,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Sheep,
9108,Serbia,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
3872,"Sweden,Norway",Europe,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
506,Germany,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
503,Portugal,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Laying hens,
4191,Spain,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
3749,Sweden,Europe,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
5126,"Belgium,The Netherlands",Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
1169,Italy,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
3185,Norway,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
4307,Sweden,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
1887,Germany,Europe,Laboratory study (experimental),Field used to grow animal feeds,Field Used to Grow Animal Feeds,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
4180,Great Britain,Europe,Single group observational,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
10108,Poland,Europe,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Laying hens,
2139,Sweden,Europe,Diagnostic test evaluation,Animal feed at retail,Retail,Not Reported,Not reported,Not reported,,,,,,Laying hens,
4369,Finland,Europe,Molecular studies,"Feed manufacturing plant,Not specified",Multiple,Not Reported,Not reported,Not reported,,,,,,Laying hens,
9406,Lithuania,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
9133,Poland,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9139,Poland,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9151,Poland,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9842,Slovenia,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
9087,Spain,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
9210,Spain,Europe,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
307,Germany,Europe,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
2489,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
10058,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
260,Denmark,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
140,Italy,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
10420,Poland,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
17194,Poland,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
5393,Sweden,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
6223,Sweden,Europe,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
1527,Belgium,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Broiler chickens,Laying hens",
4475,Belgium,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Rabbits raised for meat,
3312,Denmark,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
4037,Germany,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
4423,Great Britain,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
5134,Great Britain,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
5048,Greece,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
2430,Poland,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
3788,Poland,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
4568,Poland,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
9251,Poland,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
10295,Poland,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
3848,Spain,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
4429,Spain,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Broiler chickens,Laying hens",
6531,Sweden,Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9699,Serbia,Europe,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
10522,Serbia,Europe,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
719,"Germany,Poland,Brazil,Italy,India,The Netherlands,Argentina",Europe,Single group observational,Animal feed at retail,Retail,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
5360,"Poland,Italy,Denmark,Spain,Serbia,Ireland,United Kingdom,Greece",Europe,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
172,"Not reported,Germany,Great Britain,Denmark",Europe,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
1537,Costa Rica,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Swine, Poultry, Not reported","Swine,Poultry, not further specified,Not reported",,,,,,Buffalo / bison,
7948,USA,North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Cattle, Not reported","Dairy cattle,Beef cattle,Not reported",,,,,,Swine,
5394,USA,North America,Single group observational,Not specified,Not Specified,Not Reported,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,,,,,Swine,
5179,"Canada,Great Britain,Israel",North America,Molecular studies,Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Broiler chickens,
878,Costa Rica,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Not reported,
2242,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
3052,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Fish  / shellfish,
4141,USA,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
1324,USA,North America,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
1574,USA,North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
3993,USA,North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
19919,USA,North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
1618,"USA,Canada",North America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
5480,USA,North America,Analytical observational,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
1127,USA,North America,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Swine,
9720,Canada,North America,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Swine,
4549,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
4885,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
4905,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
5033,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Sheep,
5122,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
8706,Canada,North America,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
4515,Mexico,North America,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
939,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Not reported,
3256,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
5658,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",
3570,USA,North America,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Fish  / shellfish,
19919,USA,North America,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",North America,Molecular studies,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,Swine,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Oceania,Molecular studies,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,Domestic ducks,
5391,Brazil,South America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Domestic ducks,
9140,Brazil,South America,Analytical observational,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
12129,Brazil,South America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
9419,Ecuador,South America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Not Reported,Not reported,Not reported,,,,,,Laying hens,
9558,Brazil,South America,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
4303,Brazil,South America,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Broiler chickens,Laying hens",
4418,Brazil,South America,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
5147,Brazil,South America,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",South America,Molecular studies,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,"Broiler chickens,Laying hens,Turkeys",
719,"Germany,Poland,Brazil,Italy,India,The Netherlands,Argentina",South America,Single group observational,Animal feed at retail,Retail,Not Reported,Not reported,Not reported,,,,,,"Ruminants, not further specified",
9307,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,"Chickens, not further specified",
1269,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,"Cattle, Not reported","Cattle, not further specified,Not reported",,,,,,Dairy cattle,
2809,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,"Swine, Not reported","Swine,Not reported",,,,,,Not reported,
4654,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported",,,,,,Dairy cattle,
5375,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,"Poultry, Fish, Not reported","Poultry, not further specified,Fish  / shellfish,Not reported",,,,,,Turkeys,
9770,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,Beef cattle,
2700,"Not reported,USA,Ecuador,Australia,Uruguay,Taiwan,Thailand,Chile,Peru,American Samoa",Not Reported,Molecular studies,Feed transportation (e.g. feed trucks),Feed Transportation,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",
172,"Not reported,Germany,Great Britain,Denmark",Not Reported,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
9132,Not reported,Not Reported,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
10237,Not reported,Not Reported,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
4692,Not reported,Not Reported,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
5010,Not reported,Not Reported,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
5152,Not reported,Not Reported,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Swine,
5244,Not reported,Not Reported,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,Turkeys,
3090,Not reported,Not Reported,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
16367,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Not Reported,Not reported,Not reported,,,,,,"Chickens, not further specified",
10226,Not reported,Not Reported,Analytical observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Broiler chickens,
953,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
970,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
3585,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
4156,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
4525,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
4722,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
5189,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
5190,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
5191,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
5240,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
5242,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
5259,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
5748,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
262,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
1075,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
1518,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
1942,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Dairy cattle,Beef cattle",
2161,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
2243,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Dairy cattle,
2352,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
3147,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
3148,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Fish  / shellfish,
3437,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
3550,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Cattle, not further specified",
6343,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
6807,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
7450,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Poultry, not further specified",
8559,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Dairy cattle,Beef cattle",
9236,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Laying hens,
21709,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Turkeys,
2007,Not reported,Not Reported,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
12501,Not reported,Not Reported,Molecular studies,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Beef cattle,
3422,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,"Dairy cattle,Beef cattle",
9832,Not reported,Not Reported,Single group observational,Not specified,Not Specified,Not Reported,Not reported,Not reported,,,,,,Swine,
